customer_id,income,marital_status,age,occupation_business,occupation_doctor,occupation_engineer,occupation_lawyer,occupation_teacher,city_grp_t0,city_grp_t1,city_grp_t2,city_grp_t3,city_grp_unknown,card_type
c2325,5.935220496503305,0,46,0,0,1,0,0,0,0,0,1,0,signature
c2678,6.015058243692522,1,49,0,0,0,1,0,0,0,0,0,1,signature
c5122,6.084541247007776,1,36,0,1,0,0,0,0,0,0,0,1,gold
c2775,6.249931023853236,0,36,0,0,0,0,1,0,1,0,0,0,signature
c1628,6.238381861177117,0,36,0,0,1,0,0,0,0,0,1,0,silver
c1151,5.9932373354056265,0,44,0,0,1,0,0,0,0,0,1,0,silver
c1810,6.148694870902877,0,39,0,0,0,0,1,0,0,1,0,0,silver
c3129,6.042125629189039,0,46,1,0,0,0,0,1,0,0,0,0,signature
c1325,6.22225514590588,1,44,1,0,0,0,0,0,0,1,0,0,silver
c1620,5.976338513844495,0,42,0,0,0,1,0,0,0,0,1,0,silver
c2609,6.120723934300555,1,39,0,1,0,0,0,0,0,0,0,1,signature
c4149,6.115926549726361,0,41,0,0,1,0,0,0,1,0,0,0,platinum
c5519,6.2384829392507015,1,40,0,0,0,0,1,0,0,0,1,0,gold
c1659,6.117850410709427,0,35,0,0,0,1,0,0,0,0,0,1,silver
c1145,6.258590834193163,0,31,0,1,0,0,0,0,0,1,0,0,silver
c4746,6.1088666251185115,1,33,0,0,0,0,1,1,0,0,0,0,platinum
c3199,6.184210318118227,0,49,0,0,0,0,1,0,1,0,0,0,signature
c1921,6.287851200865312,1,42,1,0,0,0,0,0,0,1,0,0,silver
c5178,5.835507939212601,1,40,0,0,1,0,0,0,0,1,0,0,gold
c1443,5.793512403134502,0,45,0,0,0,1,0,0,1,0,0,0,silver
c4743,6.049373487775851,0,42,1,0,0,0,0,1,0,0,0,0,platinum
c2165,6.140243048859706,0,46,0,1,0,0,0,0,0,0,0,1,silver
c3722,6.287410688901643,0,47,1,0,0,0,0,0,0,0,0,1,platinum
c5702,6.14723964655102,0,32,1,0,0,0,0,0,0,1,0,0,gold
c1600,6.171916799615948,0,35,0,0,0,0,1,0,0,1,0,0,silver
c1134,6.160855232152447,1,35,0,0,1,0,0,0,1,0,0,0,silver
c2376,6.273954052660292,1,32,0,0,0,1,0,0,0,1,0,0,signature
c4804,6.187077740229008,0,40,1,0,0,0,0,1,0,0,0,0,gold
c4001,5.842345213154961,1,34,0,0,1,0,0,0,1,0,0,0,platinum
c2608,5.937437143851048,1,37,0,0,0,1,0,0,1,0,0,0,signature
c4611,6.218742625315583,1,37,0,0,0,0,1,0,0,0,0,1,platinum
c5884,6.160632973635746,1,32,0,0,0,1,0,1,0,0,0,0,gold
c5474,5.879082110368242,1,49,0,1,0,0,0,1,0,0,0,0,gold
c2836,6.261808903539844,1,41,0,0,0,0,1,0,1,0,0,0,signature
c2321,6.04892361083654,1,38,0,1,0,0,0,0,0,0,1,0,signature
c5754,5.790261935344134,1,38,1,0,0,0,0,1,0,0,0,0,gold
c3183,5.966206050510235,1,35,1,0,0,0,0,0,1,0,0,0,signature
c1328,6.258611425392017,0,46,0,0,0,1,0,0,0,1,0,0,silver
c2454,6.214908193011955,1,42,0,0,0,1,0,0,0,0,1,0,signature
c1039,6.277329296377624,0,46,1,0,0,0,0,0,0,1,0,0,silver
c4679,6.256387450794742,1,46,0,0,1,0,0,0,0,1,0,0,platinum
