customer_id,occupation,income,marital_status,age,city_grp
c2325,engineer,861431,unmarried,46,t3
c2678,lawyer,1035281,married,49,unknown
c5122,doctor,1214902,married,36,unknown
c2775,teacher,1777997,unmarried,36,t1
c1628,engineer,1731338,unmarried,36,t3
c1151,engineer,984549,unmarried,44,t3
c1810,teacher,1408299,unmarried,39,t2
c3129,business,1101858,unmarried,46,t0
c1325,business,1668227,married,44,t2
c1620,lawyer,946975,unmarried,42,t3
c2609,doctor,1320456,married,39,unknown
c4149,engineer,1305950,unmarried,41,t1
c5519,teacher,1731741,married,40,t3
c1659,lawyer,1311748,unmarried,35,unknown
c1145,doctor,1813806,unmarried,31,t2
c4746,teacher,1284892,married,33,t0
c3199,teacher,1528306,unmarried,49,t1
c1921,business,1940221,married,42,t2
c5178,engineer,684712,married,40,t2
c1443,lawyer,621602,unmarried,45,t1
c4743,business,1120401,unmarried,42,t0
c2165,doctor,1381157,unmarried,46,unknown
c3722,business,1938254,unmarried,47,unknown
c5702,business,1403588,unmarried,32,t2
c1600,teacher,1485651,unmarried,35,t2
c1134,engineer,1448289,married,35,t1
c2376,lawyer,1879118,married,32,t2
c4804,business,1538430,unmarried,40,t0
c4001,engineer,695577,married,34,t1
c2608,lawyer,865839,married,37,t1
c4611,teacher,1654789,married,37,unknown
c5884,lawyer,1447548,married,32,t0
c5474,doctor,756976,married,49,t0
c2836,teacher,1827296,married,41,t1
c2321,doctor,1119241,married,38,t3
c5754,business,616967,married,38,t0
c3183,business,925137,married,35,t1
c1328,lawyer,1813892,unmarried,46,t2
c2454,lawyer,1640243,married,42,t3
c1039,business,1893779,unmarried,46,t2
c4679,engineer,1804627,married,46,t2
c1924,engineer,1979382,unmarried,48,t3
c1299,lawyer,848100,unmarried,38,t3
c1468,teacher,1453124,married,41,t1
c2988,teacher,1786331,married,35,unknown
c1723,business,832417,unmarried,49,t0
c3818,lawyer,1769150,unmarried,46,t3
c1663,teacher,1453912,married,43,t2
c1535,engineer,1861699,married,34,t2
c1740,teacher,1032789,unmarried,32,unknown
c2194,engineer,821015,married,33,unknown
c4659,doctor,693065,unmarried,42,t0
c4696,lawyer,1204645,married,41,t1
c5312,doctor,1593776,unmarried,47,unknown
c2600,teacher,1979845,unmarried,45,t3
c5126,teacher,1231062,unmarried,49,t3
c2907,doctor,1903892,unmarried,46,t0
c1674,doctor,1942275,married,48,t0
c3553,doctor,1749316,unmarried,32,unknown
c1394,lawyer,1291683,unmarried,36,unknown
c4796,lawyer,1200331,married,37,t1
c2613,engineer,1843208,married,49,unknown
c5816,engineer,955434,married,37,t0
c4463,doctor,1290858,unmarried,33,t1
c5617,engineer,1151954,unmarried,44,t0
c3736,business,691228,married,48,unknown
c3890,lawyer,1982366,unmarried,37,t3
c2061,lawyer,1466061,married,47,unknown
c4025,doctor,1566872,unmarried,45,t1
c4709,lawyer,1607113,unmarried,32,t2
c3636,business,1022381,married,38,unknown
c2686,business,1548235,married,31,t1
c4766,lawyer,888525,married,35,t0
c1191,teacher,1833056,unmarried,39,t0
c3731,business,1312491,unmarried,50,t3
c5759,doctor,1156116,married,40,unknown
c4146,doctor,720599,married,48,t2
c2791,business,1949277,married,33,unknown
c3503,engineer,1270681,unmarried,44,t1
c4399,doctor,1876353,married,45,unknown
c5001,lawyer,628152,married,34,t1
c3430,business,949893,unmarried,45,t2
c3018,doctor,1473616,married,38,t3
c3982,teacher,1314410,married,44,t3
c1060,lawyer,1402444,married,36,t2
c3154,business,1443115,married,47,unknown
c2462,lawyer,630010,married,41,t1
c3925,lawyer,1550953,unmarried,43,unknown
c3798,teacher,1527833,unmarried,43,t2
c4071,teacher,1803758,unmarried,30,unknown
c1188,teacher,1734919,unmarried,47,t2
c5259,lawyer,848766,unmarried,41,t1
c5747,business,962524,married,46,t3
c3945,business,1871749,married,40,t0
c1213,doctor,1347532,married,38,t2
c4285,teacher,1584535,unmarried,42,t2
