Card Type,Gender,customer_id,occupation,dob,income,city,marital_status
Gold,F,C5076,lawyer,03/26/1977,1795531,Kolkata,married
Platinum,F,C4268,lawyer,10/02/1972,970889,Chennai,unmarried
Silver,M,C1487,teacher,04/10/1972,1073661,Mumbai,unmarried
Signature,M,C2325,engineer,12/06/1973,861431,Mumbai,unmarried
Gold,M,C5218,teacher,10/01/1975,1197369,Chennai,unmarried
Silver,M,C1679,doctor,08/29/1975,1264352,Bangalore,married
Gold,M,C5504,lawyer,12/06/1988,892125,Chennai,married
Platinum,F,C3550,lawyer,05/19/1980,970972,Mumbai,married
Silver,M,C1189,business,10/01/1984,1221712,Delhi,married
Platinum,M,C4664,teacher,09/11/1985,1721709,Chennai,married
Platinum,M,C4701,teacher,01/23/1972,883151,Delhi,unmarried
Signature,F,C2788,doctor,10/25/1988,1328635,Mumbai,unmarried
Gold,F,C5144,business,05/18/1983,1223004,Mumbai,unmarried
Signature,F,C2419,doctor,07/26/1988,1876612,Bangalore,married
Signature,F,C2257,business,09/12/1973,1154020,Kolkata,married
Platinum,F,C3824,lawyer,12/18/1972,1044741,Delhi,married
Signature,F,C3218,teacher,03/07/1980,1904408,Mumbai,unmarried
Gold,F,C5610,engineer,05/08/1976,1474085,Bangalore,unmarried
Platinum,M,C3933,lawyer,05/22/1988,1604212,Delhi,unmarried
Platinum,M,C4101,doctor,01/12/1974,1242471,Chennai,unmarried
Signature,M,C2805,lawyer,09/15/1973,669908,Bangalore,unmarried
Signature,F,C2474,doctor,06/18/1975,1083459,Delhi,unmarried
Silver,M,C1702,teacher,04/29/1984,1183943,Kolkata,unmarried
Gold,F,C5642,business,05/08/1978,667033,Bangalore,unmarried
Gold,F,C5994,lawyer,01/28/1975,806552,Kolkata,married
Silver,M,C1920,business,10/03/1974,1764470,Mumbai,unmarried
Platinum,M,C3505,doctor,04/30/1976,899918,Bangalore,married
Signature,F,C2415,doctor,11/23/1973,1299411,Bangalore,married
Platinum,F,C4241,teacher,05/22/1979,1238070,Chennai,married
Gold,F,C5018,business,05/14/1987,1711965,Delhi,married
Signature,M,C3006,lawyer,05/26/1972,1949004,Bangalore,married
Gold,M,C5262,engineer,12/31/1987,1631928,Bangalore,married
Platinum,F,C3914,teacher,05/16/1984,1278045,Chennai,married
Gold,M,C5350,business,02/25/1975,1173629,Mumbai,married
Signature,M,C2453,engineer,01/22/1987,1191397,Kolkata,married
Platinum,M,C3743,teacher,06/18/1982,1996405,Delhi,unmarried
Signature,F,C3202,teacher,03/29/1986,953700,Bangalore,married
Silver,M,C1510,doctor,08/25/1971,1478634,Kolkata,married
Platinum,M,C4456,lawyer,05/18/1970,1573942,Delhi,married
Silver,M,C2208,engineer,03/20/1979,1300524,Mumbai,married
Platinum,F,C4327,teacher,06/29/1987,1741040,Mumbai,unmarried
Gold,M,C5524,business,04/11/1977,1562179,Delhi,married
Platinum,F,C4144,doctor,07/28/1989,1343845,Mumbai,unmarried
Silver,F,C1736,teacher,11/07/1977,1530025,Kolkata,unmarried
Platinum,M,C4701,teacher,01/23/1972,883151,Delhi,unmarried
Gold,M,C5650,business,06/11/1981,770081,Delhi,married
Gold,F,C4907,engineer,11/05/1975,1034116,Delhi,married
Platinum,M,C4283,business,05/19/1975,1556793,Kolkata,unmarried
Gold,M,C5461,business,11/11/1975,1166599,Kolkata,married
Signature,M,C2537,doctor,10/30/1974,1860225,Delhi,unmarried
Signature,F,C3043,business,11/08/1972,1589714,Delhi,unmarried
Platinum,F,C4333,business,07/29/1989,1929437,Kolkata,unmarried
