customer_id,income,marital_status,travel_amt,travel_trans,fuel_amt,fuel_trans,entertainment_amt,entertainment_trans,food_amt,food_trans,bill_amt,bill_trans,total_amt,total_trans,age,customer_since_months,occupation_business,occupation_doctor,occupation_engineer,occupation_lawyer,occupation_teacher,city_grp_t0,city_grp_t1,city_grp_t2,city_grp_t3,city_grp_unknown,card_type
c1000,6.1316186643491255,0,0,0,0,0,111739,2,145769,1,381628,4,639136,7,33,229.0,0,1,0,0,0,0,0,1,0,0,silver
c1001,6.203556663253441,1,0,0,480999,3,44486,1,910368,6,0,0,1435853,10,35,148.0,0,0,0,0,1,1,0,0,0,0,silver
c1002,6.062852628907821,0,255339,1,0,0,369136,2,348590,2,165781,1,1138846,6,37,137.0,0,0,1,0,0,0,0,0,1,0,silver
c1003,5.9030737006435015,1,0,0,294262,1,109870,2,283414,3,225059,2,912605,8,34,140.0,0,0,1,0,0,0,0,1,0,0,silver
c1004,6.037810817911266,0,0,0,0,0,147308,1,325663,3,0,0,472971,4,49,191.0,0,0,1,0,0,0,0,0,0,1,silver
c1005,5.873587956536147,1,0,0,197439,1,0,0,33536,2,6953,1,237928,4,33,192.0,0,0,0,0,1,0,0,0,1,0,silver
c1006,6.253794114231272,1,0,0,201605,1,73579,1,785093,3,396056,3,1456333,8,49,199.0,0,0,0,1,0,0,1,0,0,0,silver
c1007,6.243286146083446,0,0,0,101427,1,0,0,203312,1,231689,1,536428,3,45,255.0,1,0,0,0,0,0,0,0,1,0,silver
c1008,6.155762833306476,0,260044,1,183143,3,163273,1,70610,1,0,0,677070,6,30,209.0,1,0,0,0,0,0,1,0,0,0,silver
c1009,6.0635026144804405,0,0,0,0,0,0,0,52484,1,241352,2,293836,3,30,181.0,1,0,0,0,0,1,0,0,0,0,silver
c1010,5.831585054985344,1,0,0,288646,1,0,0,61665,1,336324,2,686635,4,39,169.0,0,1,0,0,0,0,0,1,0,0,silver
c1011,6.0934920771917955,0,264587,1,203751,2,28907,1,509109,4,0,0,1006354,8,34,234.0,1,0,0,0,0,0,1,0,0,0,silver
c1012,6.204732448673756,1,16706,1,181534,1,344660,3,162892,1,266905,2,972697,8,34,237.0,0,0,0,0,1,0,0,0,1,0,silver
