customer_id,gender,marital_status,income,age,customer_since_months,customer_rel_dur_segment,city_grp,occupation_adm-clerical,occupation_armed-forces,occupation_craft-repair,occupation_exec-managerial,occupation_farming-fishing,occupation_handlers-cleaners,occupation_machine-op-inspct,occupation_other-service,occupation_priv-house-serv,occupation_prof-specialty,occupation_protective-serv,occupation_sales,occupation_tech-support,occupation_transport-moving,policy_deductable,policy_annual_premium,umbrella_limit,incident_severity,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,months_ago_incident_date,years_auto_old,bodily_injury_single_limit,bodily_injury_total_limit,net_captial,incident_hour_of_the_day_evening,incident_hour_of_the_day_morning,incident_hour_of_the_day_night,property_damage_no,property_damage_yes,police_report_available_no,police_report_available_yes,collision_type_front collision,collision_type_rear collision,collision_type_side collision,authorities_contacted_ambulance,authorities_contacted_fire,authorities_contacted_none,authorities_contacted_other,authorities_contacted_police,motor_addon
sb3001000,0,0,70110,34,51.0,0,unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1406.91,0,0.2,1,1,2,71610,6510,13020,52080,64000,64.0,16,250,500,53300,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,single vehicle collision
sb3001001,0,0,45272,38,83.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1197.22,5000000,0.2,1,0,0,5070,780,780,3510,52000,64.0,13,250,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001002,1,1,35498,37,124.0,0,t0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1413.14,5000000,0.2,3,2,2,34650,7700,3850,23100,52000,63.0,13,100,300,35100,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001003,0,0,80798,41,105.0,0,t0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1415.74,6000000,0.2,1,1,2,63400,6340,6340,50720,24000,64.0,6,250,500,-13500,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,single vehicle collision
sb3001004,1,0,51487,35,90.0,0,t2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1583.91,6000000,0.2,1,0,1,6500,1300,650,4550,44000,63.0,11,500,1000,20000,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001005,1,1,32120,49,86.0,0,t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,1351.1,0,0.2,3,0,2,64100,6410,6410,51280,68000,64.0,17,250,500,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001006,0,0,75560,47,58.0,0,t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,1333.35,0,0.2,3,0,0,78650,21450,7150,50050,32000,64.0,8,250,500,-77000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001007,1,0,60275,30,84.0,0,t0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,1137.03,0,0.2,3,2,2,51590,9380,9380,32830,20000,63.0,5,100,300,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001008,1,0,59414,34,68.0,0,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1442.99,0,0.2,1,1,1,27700,2770,2770,22160,32000,64.0,8,100,300,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,single vehicle collision
sb3001009,1,1,32359,40,121.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1315.68,0,0.2,1,2,1,42300,4700,4700,32900,96000,64.0,24,100,300,-39300,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,single vehicle collision
sb3001010,0,0,33114,46,46.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,1253.12,4000000,0.2,1,2,2,87010,7910,15820,63280,72000,64.0,18,100,300,38400,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,single vehicle collision
sb3001011,0,0,45516,47,85.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,1137.16,0,0.2,3,1,2,114920,17680,17680,79560,56000,63.0,14,100,300,-51000,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001012,1,0,66287,37,95.0,0,t0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,1215.36,3000000,0.2,1,1,0,56520,4710,9420,42390,80000,64.0,20,500,1000,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,single vehicle collision
sb3001013,0,0,72331,42,18.0,1,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,936.61,0,0.2,1,1,1,7280,1120,1120,5040,40000,64.0,10,100,300,20000,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,parked car
